user_id,age_bucket,gender,region,language,subscription_status,signup_date,payment_type,utterance_type,device_type,device_subtype,device_model,os_version,app_version,build_number,llm_model,model_version,temperature,max_tokens,streaming_enabled,experiment_id,variant,assignment_date
54,25-34,M,EU,en,Plus,2025-05-18,Annual,text,phone,ios,iPhone 14,iOS 17,v1.9.0,b8809,gpt-4o-mini,2025-10-20,0.94,2048,1,,,2026-01-06
55,25-34,F,APAC,en,Plus,2025-03-01,Monthly,text,phone,ios,iPhone 15,iOS 16,v1.9.1,b5281,gpt-4o-mini,2025-10-20,0.78,512,1,,,2026-01-06
56,18-24,M,APAC,de,Plus,2024-09-12,Annual,text,phone,android,Pixel 6,Android 14,v1.9.0,b2414,gpt-4o,2025-11-15,0.76,256,1,,,2026-01-06
57,18-24,M,APAC,en,Free,2024-07-21,None,voice,phone,ios,iPhone 12,iOS 17,v1.9.0,b5571,gpt-4o,2025-11-15,0.76,2048,1,voice_latency_optim_v1,control,2026-01-06
58,35-44,F,APAC,en,Free,2024-10-17,None,text,phone,android,Galaxy S22,Android 13,v1.9.1,b4860,gpt-4o-mini,2025-10-20,0.59,512,1,,,2026-01-06
59,25-34,F,APAC,en,Free,2024-05-27,None,text,phone,android,Galaxy S22,Android 14,v1.8.2,b4546,gpt-4o,2025-11-15,0.53,1024,1,,,2026-01-06
60,35-44,Prefer_not_say,LATAM,en,Plus,2024-08-28,Annual,text,phone,android,Galaxy S22,Android 13,v1.7.9,b1170,gpt-4o,2025-11-15,0.39,1024,1,,,2026-01-06
61,55+,M,NA,es,Plus,2025-01-13,Monthly,voice,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.8.7,b4412,gpt-4o,2025-11-15,0.83,512,1,voice_latency_optim_v1,control,2026-01-06
62,35-44,F,NA,hi,Free,2024-11-25,None,voice,laptop,macbook,MacBook Air M2,macOS 14,v1.8.2,b1478,gpt-4o-mini,2025-10-20,0.77,1024,1,,,2026-01-06
63,18-24,F,NA,de,Free,2024-05-17,None,text,phone,ios,iPhone 14,iOS 17,v1.9.1,b3106,gpt-4o,2025-11-15,0.93,512,1,,,2026-01-06
64,25-34,F,EU,en,Enterprise,2024-10-13,Annual,voice,phone,ios,iPhone 13,iOS 17,v1.9.0,b7266,gpt-4o-mini,2025-10-20,0.75,512,1,,,2026-01-06
65,35-44,F,NA,es,Team,2024-03-30,Monthly,click,phone,android,Galaxy S23,Android 13,v1.9.0,b7547,gpt-4o,2025-11-15,0.99,2048,1,,,2026-01-06
66,25-34,Prefer_not_say,APAC,hi,Free,2024-12-21,None,voice,laptop,macbook,MacBook Pro 16,macOS 14,v1.8.2,b4259,gpt-4o,2025-11-15,0.47,512,0,,,2026-01-06
67,55+,M,NA,hi,Plus,2024-03-26,Monthly,text,laptop,macbook,MacBook Air M1,macOS 13,v1.9.0,b6067,gpt-4o-mini,2025-10-20,1.05,1024,1,,,2026-01-06
68,55+,M,LATAM,en,Free,2024-07-17,None,text,laptop,macbook,MacBook Pro 14,macOS 14,v1.9.0,b2139,gpt-4o-mini,2025-10-20,0.67,256,0,,,2026-01-06
69,45-54,M,NA,en,Free,2024-04-04,None,text,laptop,macbook,MacBook Air M1,macOS 14,v1.9.1,b3945,gpt-4o,2025-11-15,0.66,256,1,,,2026-01-06
70,25-34,F,EU,en,Plus,2025-01-10,Monthly,text,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.8.2,b9279,gpt-4o-mini,2025-10-20,0.94,512,1,,,2026-01-06
71,45-54,F,EU,es,Plus,2024-05-03,Monthly,text,laptop,macbook,MacBook Pro 16,macOS 14,v1.8.2,b2107,gpt-4o-mini,2025-10-20,0.62,1024,1,,,2026-01-06
72,18-24,M,LATAM,pt,Free,2024-09-15,None,text,phone,ios,iPhone 13,iOS 16,v1.9.1,b2717,gpt-4o-mini,2025-10-20,0.92,256,0,,,2026-01-06
73,25-34,M,NA,en,Plus,2024-07-19,Monthly,voice,phone,ios,iPhone 13,iOS 17,v1.7.9,b8498,gpt-4o-mini,2025-10-20,0.82,256,1,,,2026-01-06
74,25-34,Non-binary,NA,hi,Free,2025-06-01,None,text,phone,ios,iPhone 15,iOS 16,v1.9.0,b3151,gpt-4o,2025-11-15,0.8,1024,1,,,2026-01-06
75,35-44,F,NA,hi,Free,2024-09-05,None,text,phone,android,Pixel 6,Android 14,v1.9.0,b7285,gpt-4o,2025-11-15,0.21,256,1,,,2026-01-06
76,25-34,M,APAC,en,Free,2024-08-02,None,text,laptop,macbook,MacBook Pro 16,macOS 14,v1.8.7,b6968,gpt-4o,2025-11-15,0.74,512,0,,,2026-01-06
77,18-24,F,EU,en,Free,2025-02-03,None,voice,phone,android,Pixel 7,Android 14,v1.8.7,b9705,gpt-4o,2025-11-15,0.71,256,0,,,2026-01-06
78,25-34,M,NA,en,Team,2025-12-24,Annual,text,phone,android,Pixel 7,Android 13,v1.8.7,b7432,gpt-4o,2025-11-15,0.73,1024,1,,,2026-01-06
79,25-34,M,NA,de,Free,2024-02-14,None,text,phone,ios,iPhone 12,iOS 16,v1.9.0,b6793,gpt-4o,2025-11-15,1.03,1024,0,,,2026-01-06
80,25-34,F,APAC,en,Plus,2025-05-08,Annual,text,phone,ios,iPhone 15,iOS 16,v1.9.0,b2743,gpt-4o-mini,2025-10-20,0.55,1024,1,,,2026-01-06
81,18-24,M,APAC,pt,Plus,2024-07-17,Monthly,text,laptop,macbook,MacBook Pro 14,macOS 14,v1.9.0,b7030,gpt-4o,2025-11-15,0.64,2048,1,,,2026-01-06
82,25-34,F,EU,en,Free,2025-07-15,None,text,phone,ios,iPhone 13,iOS 16,v1.9.0,b2158,gpt-4o,2025-11-15,0.82,2048,0,,,2026-01-06
83,25-34,F,APAC,en,Free,2024-03-13,None,text,laptop,macbook,MacBook Air M1,macOS 14,v1.8.2,b8680,gpt-4o-mini,2025-10-20,0.92,1024,1,,,2026-01-06
84,35-44,M,EU,pt,Free,2024-03-12,None,text,laptop,macbook,MacBook Pro 14,macOS 13,v1.8.7,b4120,gpt-4o,2025-11-15,0.71,1024,1,,,2026-01-06
85,45-54,F,NA,en,Free,2025-09-21,None,text,laptop,macbook,MacBook Pro 16,macOS 13,v1.7.9,b4515,gpt-4o,2025-11-15,0.77,1024,0,,,2026-01-06
86,25-34,F,APAC,hi,Plus,2025-02-24,Annual,text,phone,android,Pixel 7,Android 13,v1.9.1,b1044,gpt-4o,2025-11-15,0.91,512,0,,,2026-01-06
87,25-34,Non-binary,NA,en,Free,2024-09-05,None,click,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.9.0,b8279,gpt-4.1-mini,2025-12-01,0.56,1024,0,,,2026-01-06
88,35-44,F,NA,en,Free,2024-06-15,None,click,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.9.1,b5905,gpt-4o-mini,2025-10-20,0.53,1024,1,,,2026-01-06
89,45-54,M,APAC,pt,Free,2025-07-02,None,text,phone,android,Galaxy S22,Android 13,v1.8.7,b6452,gpt-4o-mini,2025-10-20,0.85,256,1,,,2026-01-06
90,35-44,M,NA,en,Free,2025-07-19,None,text,phone,android,Galaxy S23,Android 14,v1.8.2,b4037,gpt-4o,2025-11-15,0.86,512,1,,,2026-01-06
91,45-54,M,NA,en,Free,2024-07-30,None,voice,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.9.0,b7675,gpt-4o,2025-11-15,0.34,512,1,,,2026-01-06
92,55+,F,EU,en,Plus,2024-03-30,Monthly,text,phone,ios,iPhone 14,iOS 17,v1.9.1,b5861,gpt-4.1-mini,2025-12-01,0.61,512,1,,,2026-01-06
93,18-24,F,APAC,ja,Plus,2025-01-19,Annual,voice,laptop,macbook,MacBook Air M1,macOS 13,v1.8.2,b5843,gpt-4o,2025-11-15,0.85,1024,1,voice_latency_optim_v1,treatment,2026-01-06
94,45-54,F,NA,es,Plus,2024-04-16,Annual,text,phone,android,Pixel 7,Android 14,v1.8.7,b7135,gpt-4o,2025-11-15,0.98,1024,1,,,2026-01-06
95,25-34,F,APAC,en,Free,2025-11-14,None,text,laptop,lenovo,Lenovo Yoga 7,Windows 11,v1.8.2,b7764,gpt-4o,2025-11-15,0.5,1024,1,,,2026-01-06
96,25-34,M,LATAM,en,Free,2025-06-09,None,text,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.7.9,b3172,gpt-4o,2025-11-15,0.27,512,1,,,2026-01-06
97,45-54,F,NA,en,Free,2025-12-02,None,text,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.9.0,b5012,gpt-4o,2025-11-15,0.48,256,1,,,2026-01-06
98,35-44,F,EU,en,Free,2025-12-06,None,click,phone,ios,iPhone 13,iOS 16,v1.9.0,b9291,gpt-4.1-mini,2025-12-01,0.51,1024,1,,,2026-01-06
99,18-24,Non-binary,APAC,hi,Team,2024-02-07,Monthly,text,phone,android,Pixel 7,Android 13,v1.9.0,b6183,gpt-4o,2025-11-15,0.67,256,1,,,2026-01-06
100,35-44,F,EU,hi,Free,2025-05-12,None,text,phone,ios,iPhone 15,iOS 17,v1.8.2,b7526,gpt-4o,2025-11-15,0.77,1024,1,,,2026-01-06
101,18-24,M,NA,en,Free,2024-01-26,None,text,phone,android,Galaxy S22,Android 13,v1.9.1,b9569,gpt-4o,2025-11-15,0.48,256,0,,,2026-01-06
102,25-34,M,EU,en,Team,2025-09-17,Monthly,click,phone,ios,iPhone 12,iOS 16,v1.9.1,b7482,gpt-4o-mini,2025-10-20,0.68,1024,1,,,2026-01-06
103,45-54,M,EU,de,Free,2025-11-20,None,text,phone,android,Pixel 6,Android 14,v1.9.0,b9378,gpt-4o-mini,2025-10-20,1.03,512,0,,,2026-01-06
104,25-34,F,EU,en,Free,2024-11-11,None,voice,laptop,macbook,MacBook Pro 14,macOS 13,v1.9.0,b2811,gpt-4o,2025-11-15,0.55,512,1,,,2026-01-06
105,35-44,F,NA,en,Free,2025-03-03,None,voice,phone,android,Pixel 7,Android 14,v1.8.7,b5614,gpt-4o-mini,2025-10-20,0.58,512,1,voice_latency_optim_v1,control,2026-01-06
106,35-44,F,APAC,de,Team,2025-02-04,Monthly,text,phone,android,Galaxy S23,Android 14,v1.9.0,b9340,gpt-4o-mini,2025-10-20,0.48,512,0,,,2026-01-06
107,45-54,F,NA,es,Plus,2024-01-13,Annual,text,phone,ios,iPhone 13,iOS 17,v1.8.2,b2530,gpt-4.1-mini,2025-12-01,0.48,256,1,,,2026-01-06
108,35-44,M,NA,en,Free,2024-02-19,None,voice,laptop,macbook,MacBook Air M1,macOS 14,v1.8.7,b7239,gpt-4.1-mini,2025-12-01,0.33,512,0,voice_latency_optim_v1,treatment,2026-01-06
109,18-24,F,EU,de,Free,2025-03-25,None,text,phone,ios,iPhone 15,iOS 17,v1.8.7,b3859,gpt-4o,2025-11-15,0.7,1024,1,,,2026-01-06
110,25-34,M,EU,en,Plus,2025-01-20,Monthly,text,phone,ios,iPhone 14,iOS 16,v1.8.2,b2181,gpt-4o-mini,2025-10-20,0.84,1024,0,,,2026-01-06
111,25-34,Prefer_not_say,EU,en,Plus,2025-12-13,Monthly,voice,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.8.7,b2159,gpt-4o,2025-11-15,0.95,256,0,,,2026-01-06
112,18-24,M,NA,es,Team,2024-08-08,Monthly,text,laptop,lenovo,Lenovo X1 Carbon,Windows 11,v1.9.1,b9056,gpt-4o,2025-11-15,1.05,256,0,,,2026-01-06
113,35-44,F,NA,es,Free,2024-05-31,None,text,laptop,macbook,MacBook Air M2,macOS 13,v1.8.2,b8286,gpt-4o,2025-11-15,0.82,2048,0,,,2026-01-06
114,35-44,F,NA,fr,Free,2025-11-06,None,text,phone,ios,iPhone 15,iOS 17,v1.9.1,b5159,gpt-4o,2025-11-15,0.47,2048,1,,,2026-01-06
115,45-54,M,LATAM,en,Team,2025-10-19,Monthly,text,phone,android,Pixel 7,Android 13,v1.9.1,b5202,gpt-4o,2025-11-15,0.61,256,1,,,2026-01-06
116,55+,M,LATAM,hi,Free,2025-07-20,None,click,laptop,macbook,MacBook Pro 14,macOS 13,v1.9.1,b7029,gpt-4.1-mini,2025-12-01,0.87,256,1,,,2026-01-06
117,18-24,M,NA,en,Team,2024-06-19,Monthly,text,laptop,macbook,MacBook Air M1,macOS 13,v1.8.7,b9082,gpt-4o-mini,2025-10-20,1.03,512,1,,,2026-01-06
118,25-34,F,APAC,fr,Team,2024-06-20,Monthly,voice,phone,ios,iPhone 13,iOS 16,v1.8.7,b5344,gpt-4o-mini,2025-10-20,0.72,512,1,,,2026-01-06
119,35-44,M,NA,pt,Free,2025-08-13,None,voice,phone,ios,iPhone 14,iOS 17,v1.9.0,b4781,gpt-4o-mini,2025-10-20,0.81,256,1,,,2026-01-06
120,18-24,M,APAC,en,Plus,2025-06-18,Monthly,text,phone,ios,iPhone 13,iOS 17,v1.8.2,b8006,gpt-4.1-mini,2025-12-01,0.29,512,0,,,2026-01-06
121,25-34,Prefer_not_say,LATAM,en,Free,2024-06-23,None,text,laptop,macbook,MacBook Air M1,macOS 14,v1.8.7,b6658,gpt-4o-mini,2025-10-20,0.82,512,1,,,2026-01-06
122,35-44,F,NA,en,Free,2025-05-07,None,text,phone,android,Pixel 7,Android 13,v1.8.2,b8872,gpt-4o,2025-11-15,0.59,512,1,,,2026-01-06
123,18-24,M,NA,fr,Enterprise,2025-10-13,Annual,click,phone,ios,iPhone 14,iOS 17,v1.9.1,b4980,gpt-4o,2025-11-15,0.68,1024,1,,,2026-01-06
124,45-54,M,NA,en,Free,2025-03-17,None,text,phone,android,Pixel 7,Android 14,v1.9.1,b1438,gpt-4o-mini,2025-10-20,0.82,512,1,,,2026-01-06
125,45-54,F,APAC,en,Free,2025-02-25,None,click,phone,android,Galaxy S22,Android 14,v1.9.0,b3948,gpt-4o,2025-11-15,0.5,512,1,,,2026-01-06
126,18-24,M,EU,fr,Enterprise,2024-01-19,Monthly,voice,phone,android,Galaxy S23,Android 14,v1.9.1,b8580,gpt-4o,2025-11-15,0.73,256,0,voice_latency_optim_v1,control,2026-01-06
127,25-34,M,APAC,en,Free,2024-05-30,None,text,phone,ios,iPhone 15,iOS 16,v1.9.0,b1358,gpt-4o-mini,2025-10-20,0.67,512,1,,,2026-01-06
128,45-54,M,NA,es,Free,2024-11-29,None,text,phone,ios,iPhone 13,iOS 16,v1.8.2,b8654,gpt-4o,2025-11-15,0.87,512,0,,,2026-01-06
129,55+,F,NA,en,Free,2024-03-05,None,text,phone,android,Pixel 6,Android 14,v1.8.2,b8174,gpt-4o,2025-11-15,0.94,2048,1,,,2026-01-06
130,25-34,F,NA,hi,Plus,2025-11-22,Monthly,text,laptop,macbook,MacBook Air M1,macOS 14,v1.9.1,b6147,gpt-4o,2025-11-15,0.64,1024,0,,,2026-01-06
131,18-24,M,EU,en,Free,2024-02-09,None,text,phone,android,Galaxy S22,Android 13,v1.9.1,b9748,gpt-4o,2025-11-15,0.61,256,1,,,2026-01-06
132,45-54,M,NA,en,Free,2025-06-02,None,voice,phone,ios,iPhone 15,iOS 16,v1.7.9,b2364,gpt-4o,2025-11-15,0.64,512,1,voice_latency_optim_v1,control,2026-01-06
133,45-54,M,NA,en,Free,2024-05-07,None,text,phone,android,Galaxy S23,Android 13,v1.9.1,b3089,gpt-4o,2025-11-15,0.79,512,1,,,2026-01-06
134,25-34,F,NA,en,Plus,2025-03-30,Monthly,text,phone,ios,iPhone 15,iOS 17,v1.9.0,b1601,gpt-4o,2025-11-15,0.66,1024,1,,,2026-01-06
135,25-34,F,EU,en,Free,2024-06-20,None,voice,phone,ios,iPhone 13,iOS 17,v1.9.0,b6880,gpt-4o,2025-11-15,0.82,1024,0,voice_latency_optim_v1,control,2026-01-06
136,35-44,F,NA,hi,Free,2024-04-21,None,text,phone,ios,iPhone 12,iOS 16,v1.7.9,b1227,gpt-4o-mini,2025-10-20,1.05,1024,1,,,2026-01-06
137,45-54,F,NA,en,Plus,2024-09-21,Monthly,click,phone,ios,iPhone 14,iOS 16,v1.8.7,b8816,gpt-4.1-mini,2025-12-01,1.03,512,1,,,2026-01-06
138,18-24,F,LATAM,en,Team,2025-01-07,Annual,text,phone,ios,iPhone 14,iOS 16,v1.8.2,b8236,gpt-4o-mini,2025-10-20,1.18,1024,0,,,2026-01-06
139,35-44,F,LATAM,en,Free,2024-07-24,None,text,laptop,macbook,MacBook Pro 14,macOS 14,v1.8.2,b8591,gpt-4o,2025-11-15,0.34,256,1,,,2026-01-06
140,45-54,M,NA,en,Free,2025-09-01,None,voice,laptop,lenovo,Lenovo Yoga 7,Windows 11,v1.9.1,b6186,gpt-4o-mini,2025-10-20,0.9,1024,1,voice_latency_optim_v1,treatment,2026-01-06
141,35-44,F,EU,en,Plus,2024-06-02,Monthly,text,phone,android,Pixel 6,Android 13,v1.7.9,b8757,gpt-4o-mini,2025-10-20,1.12,256,1,,,2026-01-06
142,18-24,M,NA,pt,Team,2024-11-14,Annual,text,laptop,lenovo,Lenovo ThinkPad T14,Windows 11,v1.8.7,b9159,gpt-4o,2025-11-15,0.64,256,0,,,2026-01-06
143,18-24,F,EU,es,Enterprise,2024-05-25,Annual,voice,phone,ios,iPhone 14,iOS 16,v1.9.0,b7344,gpt-4o-mini,2025-10-20,0.56,1024,0,voice_latency_optim_v1,control,2026-01-06
144,25-34,M,EU,hi,Free,2024-08-22,None,voice,phone,android,Pixel 7,Android 13,v1.8.2,b6082,gpt-4.1-mini,2025-12-01,0.46,512,1,,,2026-01-06
